key,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,values_all,users_all,in_wiki,projects,most_frequent_values
addr:housenumber,168111211,0.0153,86187057,0.3276,81695981,0.0743,228173,0.0172,1799912,380369,true,37,1.2.3.4.
addr:street,157060201,0.0143,76461559,0.2907,80365446,0.0731,233196,0.0176,3993873,447156,true,24,Toutes les valeurs inférieures à 1 %
addr:city,120594091,0.011,58475019,0.2223,61877844,0.0563,241228,0.0182,339306,352084,true,14,新北市 • 高雄市 
source,295501598,0.0269,56844136,0.2161,237160145,0.2156,1497317,0.1129,1597059,331917,true,9,microsoft/BuildingFootprints.BAG.NRCan-CanVec-10.0.Bing
addr:postcode,104229416,0.0095,49506748,0.1882,54498859,0.0496,223809,0.0169,1415488,344289,true,14,Toutes les valeurs inférieures à 1 %
power,42416071,0.0039,35911854,0.1365,6470314,0.0059,33903,0.0026,667,68997,true,30,tower.pole.generator.minor_line
natural,80994812,0.0074,31036636,0.118,46640250,0.0424,3317926,0.2501,765,234364,true,59,tree.water.wood.scrub.wetland
name,107082343,0.0098,28922960,0.1099,74316183,0.0676,3843200,0.2897,37100274,832891,true,112,Toutes les valeurs inférieures à 1 %
highway,273707951,0.0249,27880940,0.106,245762977,0.2235,64034,0.0048,290,634655,true,85,residential.service.track.footway
addr:country,48997470,0.0045,25851969,0.0983,23031302,0.0209,114199,0.0086,278,95288,true,12,DE.TW.US.DK
amenity,29761376,0.0027,15672971,0.0596,13914741,0.0127,173664,0.0131,8842,518406,true,117,parking.parking_space.bench.restaurant
addr:district,15320435,0.0014,13835907,0.0526,1439082,0.0013,45446,0.0034,20164,22968,true,5,
source:date,29083494,0.0026,11721936,0.0446,17224748,0.0157,136810,0.0103,19632,29638,true,2,
addr:hamlet,9972416,0.0009,9871898,0.0375,98415,0.0001,2103,0.0002,21709,3605,true,6,
addr:neighbourhood,10080007,0.0009,9802635,0.0373,273257,0.0002,4115,0.0003,32309,9871,true,4,
barrier,28697064,0.0026,9517826,0.0362,19169247,0.0174,9991,0.0008,2385,157424,true,50,
addr:state,24680537,0.0022,9185739,0.0349,15460037,0.0141,34761,0.0026,1809,56733,true,6,
addr:TW:dataset,9075552,0.0008,9075364,0.0345,188,0.0,0,0.0,17,227,true,0,
addr:full,9308039,0.0008,8895134,0.0338,409348,0.0004,3557,0.0003,9101269,9658,true,4,
crossing,11666486,0.0011,8115869,0.0309,3550524,0.0032,93,0.0,913,90290,true,17,
operator,12721637,0.0012,7346519,0.0279,4570055,0.0042,805063,0.0607,1162778,198086,true,60,
place,8741599,0.0008,7136436,0.0271,1320887,0.0012,284276,0.0214,667,84836,true,35,
addr:place,11002122,0.001,6720375,0.0255,4259193,0.0039,22554,0.0017,226633,25719,true,12,
addr:province,9556288,0.0009,6277397,0.0239,3266898,0.003,11993,0.0009,3739,23135,true,6,
leaf_type,8912225,0.0008,6049155,0.023,2693065,0.0024,170005,0.0128,383,63594,true,21,
ref,20660790,0.0019,5663119,0.0215,13710259,0.0125,1287412,0.097,3308566,137888,true,68,
shop,6536861,0.0006,5128414,0.0195,1392737,0.0013,15710,0.0012,10789,262148,true,58,
public_transport,5824324,0.0005,4893931,0.0186,431753,0.0004,498640,0.0376,206,76224,true,30,
created_by,5219281,0.0005,4786269,0.0182,431640,0.0004,1372,0.0001,389,17103,true,3,
entrance,4529558,0.0004,4525759,0.0172,3758,0.0,41,0.0,176,48946,true,22,
addr:floor,4526040,0.0004,4513140,0.0172,12655,0.0,245,0.0,2314,3940,true,2,
source:addr,12119452,0.0011,4425680,0.0168,7689356,0.007,4416,0.0003,6056,16347,true,2,
