key,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,values_all,users_all,in_wiki,projects,most_frequent_values
type,13419688,0.0012,64570,0.0002,90867,0.0001,13264251,0.9998,4624,127255,true,36,multipolygon • restriction • route • boundary
name,107082343,0.0098,28922960,0.1099,74316183,0.0676,3843200,0.2897,37100274,832891,true,112,Toutes les valeurs inférieures à 1% 
natural,80994812,0.0074,31036636,0.118,46640250,0.0424,3317926,0.2501,765,234364,true,59,tree • water • wood • scrub • wetland
landuse,46877266,0.0043,114179,0.0004,44508063,0.0405,2255024,0.17,2143,287713,true,48,farmland • residential • grass • forest • meadow
restriction,2091817,0.0002,537,0.0,6034,0.0,2085246,0.1572,264,38409,true,8,no_u_turn • no_left_turn • only_straight_on
source,295501598,0.0269,56844136,0.2161,237160145,0.2156,1497317,0.1129,1597059,331917,true,9,microsoft/BuildingFootprints • BAG • NRCan-CanVec-10.0 • Bing
ref,20660790,0.0019,5663119,0.0215,13710259,0.0125,1287412,0.097,3308566,137888,true,68,1 • 2 
network,3233538,0.0003,1608530,0.0061,349727,0.0003,1275281,0.0961,36090,52933,true,30,Lwn • rwn • lcn • rcn • VOR • ru:regional • NTF-4 
route,1224015,0.0001,804,0.0,83347,0.0001,1139864,0.0859,1160,39352,true,46,bus • road • hiking • bicycle • foot • ferry • mtb • power • train • railway 
building,643282248,0.0586,922032,0.0035,641269008,0.5831,1091208,0.0823,7715,867401,true,52,yes • house • residential • detached • garage • apartments 
boundary,2425634,0.0002,33288,0.0001,1496565,0.0014,895781,0.0675,565,52356,true,39,administrative • protected_area • postal_code • census • marker 
operator,12721637,0.0012,7346519,0.0279,4570055,0.0042,805063,0.0607,1162778,198086,true,60,
wikidata,3712558,0.0003,1336956,0.0051,1617550,0.0015,758052,0.0571,2867974,61228,true,86,
admin_level,2048923,0.0002,64522,0.0002,1238324,0.0011,746077,0.0562,85,46353,true,26,
wetland,2537159,0.0002,3826,0.0,1980576,0.0018,552757,0.0417,965,18518,true,16,
public_transport,5824324,0.0005,4893931,0.0186,431753,0.0004,498640,0.0376,206,76224,true,30,
wikipedia,2085797,0.0002,841928,0.0032,794214,0.0007,449655,0.0339,1435926,48083,true,84,
from,401377,0.0,443,0.0,5029,0.0,395905,0.0298,191086,16156,true,10,
to,398577,0.0,791,0.0,4322,0.0,393464,0.0297,197808,16085,true,11,
ref:FR:FANTOIR,657789,0.0001,162964,0.0006,165985,0.0002,328840,0.0248,574573,7402,true,1,
public_transport:version,348908,0.0,28339,0.0001,809,0.0,319760,0.0241,17,11829,true,6,
name:en,6732225,0.0006,2513861,0.0096,3913541,0.0036,304823,0.023,2573225,123688,true,14,
water,4961681,0.0005,12393,0.0,4645266,0.0042,304022,0.0229,1512,92140,true,20,
place,8741599,0.0008,7136436,0.0271,1320887,0.0012,284276,0.0214,667,84836,true,35,
building:levels,35158871,0.0032,56970,0.0002,34824171,0.0317,277730,0.0209,2553,215510,true,11,
network:wikidata,1079900,0.0001,806189,0.0031,20604,0.0,253107,0.0191,2597,19505,true,4,
addr:city,120594091,0.011,58475019,0.2223,61877844,0.0563,241228,0.0182,339306,352084,true,14,
addr:street,157060201,0.0143,76461559,0.2907,80365446,0.0731,233196,0.0176,3993873,447156,true,24,
colour,1312942,0.0001,924384,0.0035,158049,0.0001,230509,0.0174,27461,35315,true,28,
addr:housenumber,168111211,0.0153,86187057,0.3276,81695981,0.0743,228173,0.0172,1799912,380369,true,37,
addr:postcode,104229416,0.0095,49506748,0.1882,54498859,0.0496,223809,0.0169,1415488,344289,true,14,
ele,9716692,0.0009,2481253,0.0094,7014066,0.0064,221373,0.0167,215569,43189,true,23,
