key,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,values_all,users_all,in_wiki,projects,most_frequent_values 
building,643282248,0.0586,922032,0.0035,641269008,0.5831,1091208,0.0823,7715,867401,true,52,yes • house • residential • detached • garage • apartments
highway,273707951,0.0249,27880940,0.106,245762977,0.2235,64034,0.0048,290,634655,true,85,residential • service • track • footway
source,295501598,0.0269,56844136,0.2161,237160145,0.2156,1497317,0.1129,1597059,331917,true,9,microsoft/BuildingFootprints • BAG • NRCan-CanVec-10.0 • Bing
addr:housenumber,168111211,0.0153,86187057,0.3276,81695981,0.0743,228173,0.0172,1799912,380369,true,37,1 • 2 • 3 • 4 • 5
addr:street,157060201,0.0143,76461559,0.2907,80365446,0.0731,233196,0.0176,3993873,447156,true,24,Toutes les valeurs inférieures à 1% 
name,107082343,0.0098,28922960,0.1099,74316183,0.0676,3843200,0.2897,37100274,832891,true,112,Toutes les valeurs inférieures à 1% 
surface,69161835,0.0063,344294,0.0013,68725594,0.0625,91947,0.0069,7631,365705,true,41,asphalt • unpaved • paved • concrete
addr:city,120594091,0.011,58475019,0.2223,61877844,0.0563,241228,0.0182,339306,352084,true,14,新北市 • 高雄市 
addr:postcode,104229416,0.0095,49506748,0.1882,54498859,0.0496,223809,0.0169,1415488,344289,true,14,Toutes les valeurs inférieures à 1% 
natural,80994812,0.0074,31036636,0.118,46640250,0.0424,3317926,0.2501,765,234364,true,59,tree • water • wood • scrub • wetland • grassland 
landuse,46877266,0.0043,114179,0.0004,44508063,0.0405,2255024,0.17,2143,287713,true,48,farmland • residential • grass • forest • meadow 
waterway,35550344,0.0032,273639,0.001,35154734,0.032,121971,0.0092,593,120817,true,45,
building:levels,35158871,0.0032,56970,0.0002,34824171,0.0317,277730,0.0209,2553,215510,true,11,
service,27500562,0.0025,27425,0.0001,27452712,0.025,20425,0.0015,3611,148235,true,25,
oneway,23588310,0.0021,2000,0.0,23581729,0.0214,4581,0.0003,40,191558,true,34,
addr:country,48997470,0.0045,25851969,0.0983,23031302,0.0209,114199,0.0086,278,95288,true,12,
height,21932173,0.002,1601740,0.0061,20185205,0.0184,145228,0.0109,164776,77685,true,27,
access,23347223,0.0021,3203271,0.0122,20085029,0.0183,58923,0.0044,804,229689,true,64,
maxspeed,20008607,0.0018,254209,0.001,19732804,0.0179,21594,0.0016,854,173738,true,29,
barrier,28697064,0.0026,9517826,0.0362,19169247,0.0174,9991,0.0008,2385,157424,true,50,
lanes,17854930,0.0016,3482,0.0,17834719,0.0162,16729,0.0013,181,143515,true,21,
source:date,29083494,0.0026,11721936,0.0446,17224748,0.0157,136810,0.0103,19632,29638,true,2,
start_date,17499549,0.0016,844003,0.0032,16546788,0.015,108758,0.0082,68448,47211,true,22,
addr:state,24680537,0.0022,9185739,0.0349,15460037,0.0141,34761,0.0026,1809,56733,true,6,
layer,14228929,0.0013,103330,0.0004,14095305,0.0128,30294,0.0023,303,175936,true,25,
amenity,29761376,0.0027,15672971,0.0596,13914741,0.0127,173664,0.0131,8842,518406,true,117,
ref,20660790,0.0019,5663119,0.0215,13710259,0.0125,1287412,0.097,3308566,137888,true,68,
wall,12749834,0.0012,2357,0.0,12740347,0.0116,7130,0.0005,831,26722,true,11,
tiger:cfcc,12630388,0.0012,36,0.0,12630320,0.0115,32,0.0,1693,46790,true,0,
tiger:county,12530111,0.0011,207,0.0,12529868,0.0114,36,0.0,10755,45855,true,1,
lit,12752428,0.0012,750460,0.0029,11981415,0.0109,20553,0.0015,412,141891,true,22,
ref:bag,11289046,0.001,4124,0.0,11277370,0.0103,7552,0.0006,11285265,6040,true,2,
